mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.868306589126587,0.16112368429099144,0.07961916923522949,0.002971495617044321,0.6482604056233543,0.07196945610518968,5,6,807,0.9150038493903057,"{'colsample_bytree': np.float64(0.6482604056233543), 'learning_rate': np.float64(0.07196945610518968), 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 807, 'subsample': np.float64(0.9150038493903057)}",0.8781320002421705,0.8395912074796101,0.8884638337592385,0.8435267046142667,0.8551921313517534,0.8609811754894079,0.019210151547009207,228
4.5911078453063965,0.12334789140662575,0.04815020561218262,0.0011277849771368768,0.6896437002268426,0.04818469867718546,9,9,572,0.9671358263938822,"{'colsample_bytree': np.float64(0.6896437002268426), 'learning_rate': np.float64(0.04818469867718546), 'max_depth': 9, 'min_child_weight': 9, 'n_estimators': 572, 'subsample': np.float64(0.9671358263938822)}",0.8889302116397539,0.8470433571755995,0.9035034986894943,0.8614487274866347,0.8612497621066109,0.8724351114196187,0.02062952676911845,154
3.572736930847168,0.06985622528351225,0.04694423675537109,0.002025897291999686,0.5567069618541549,0.0774722984253515,9,9,700,0.7114813662489088,"{'colsample_bytree': np.float64(0.5567069618541549), 'learning_rate': np.float64(0.0774722984253515), 'max_depth': 9, 'min_child_weight': 9, 'n_estimators': 700, 'subsample': np.float64(0.7114813662489088)}",0.894563920049126,0.8397187794604786,0.8976111415936361,0.8606528659665391,0.865789200505199,0.8716671815149958,0.021789519965579738,165
9.804794120788575,0.3181958415605748,0.11922721862792969,0.016684085474878603,0.8072965554065463,0.04480648235002071,6,6,1076,0.908451295255331,"{'colsample_bytree': np.float64(0.8072965554065463), 'learning_rate': np.float64(0.04480648235002071), 'max_depth': 6, 'min_child_weight': 6, 'n_estimators': 1076, 'subsample': np.float64(0.908451295255331)}",0.8889021025592236,0.849068292092267,0.8969662722397953,0.838191404695583,0.8593336389902939,0.8664923421154326,0.022744869262576718,199
8.161335754394532,0.12377206739761482,0.0938197135925293,0.0026692387809741022,0.7752296988638573,0.08310106751181673,4,6,1084,0.894251112898659,"{'colsample_bytree': np.float64(0.7752296988638573), 'learning_rate': np.float64(0.08310106751181673), 'max_depth': 4, 'min_child_weight': 6, 'n_estimators': 1084, 'subsample': np.float64(0.894251112898659)}",0.8810164243519776,0.8317055292723641,0.8737706494818092,0.8314006297686811,0.8677529022993478,0.8571292270348358,0.02130128042186192,236
8.125935983657836,0.23757915956675224,0.11269302368164062,0.002458314420611065,0.6325729806174275,0.06935881326233168,9,3,1061,0.5997792483282371,"{'colsample_bytree': np.float64(0.6325729806174275), 'learning_rate': np.float64(0.06935881326233168), 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 1061, 'subsample': np.float64(0.5997792483282371)}",0.8678948893367122,0.8422129197983066,0.8565668467200196,0.8321337739407255,0.8460505372065261,0.8489717934004581,0.012276020561944646,245
6.337057065963745,0.23568480857648522,0.06319327354431152,0.0017514819203538613,0.8674143710532759,0.058068418082030435,6,6,610,0.882304408964359,"{'colsample_bytree': np.float64(0.8674143710532759), 'learning_rate': np.float64(0.058068418082030435), 'max_depth': 6, 'min_child_weight': 6, 'n_estimators': 610, 'subsample': np.float64(0.882304408964359)}",0.880582895840721,0.842340491779175,0.8830928371409772,0.8411391200539802,0.8669202754372913,0.8628151240504289,0.01807092331000652,220
0.6561593532562255,0.02367593693365647,0.011528968811035156,0.0011061602783929406,0.5969601054214257,0.061417880557383175,2,7,153,0.6026102212599848,"{'colsample_bytree': np.float64(0.5969601054214257), 'learning_rate': np.float64(0.061417880557383175), 'max_depth': 2, 'min_child_weight': 7, 'n_estimators': 153, 'subsample': np.float64(0.6026102212599848)}",0.8783157903840997,0.8642990892657909,0.904693774496838,0.861102700738767,0.8624954583989343,0.874181362656886,0.0164521843667837,132
1.0988189220428466,0.024009602207047214,0.024701929092407225,0.0006763328989658028,0.4675074350688156,0.048336209670297205,6,4,142,0.6965790801356141,"{'colsample_bytree': np.float64(0.4675074350688156), 'learning_rate': np.float64(0.048336209670297205), 'max_depth': 6, 'min_child_weight': 4, 'n_estimators': 142, 'subsample': np.float64(0.6965790801356141)}",0.9096747130711549,0.8543322579808166,0.9168042023621892,0.865951400543262,0.8638990293949722,0.882132320670479,0.025798609775128444,18
1.2493019104003906,0.036950958836727735,0.020925188064575197,0.00129903847083887,0.5863757650187679,0.07070704027697296,5,9,219,0.6121196973529106,"{'colsample_bytree': np.float64(0.5863757650187679), 'learning_rate': np.float64(0.07070704027697296), 'max_depth': 5, 'min_child_weight': 9, 'n_estimators': 219, 'subsample': np.float64(0.6121196973529106)}",0.8991673225452124,0.8641715172849223,0.915037916132008,0.8636632986729875,0.8502439488572466,0.8784568006984754,0.024437617539049848,63
6.0617317199707035,0.052485605572346584,0.07420163154602051,0.004539518489967031,0.542706239472373,0.07452164060278622,5,8,1008,0.7909312055239863,"{'colsample_bytree': np.float64(0.542706239472373), 'learning_rate': np.float64(0.07452164060278622), 'max_depth': 5, 'min_child_weight': 8, 'n_estimators': 1008, 'subsample': np.float64(0.7909312055239863)}",0.8832327172399477,0.8506240215877738,0.8993774278238174,0.8572445025000432,0.8605901486184881,0.870213763554014,0.018246019597355913,178
