baseScore0;inoScore0_float;inoScore0_double;inoScore0_long;baseScore1;inoScore1_float;inoScore1_double;inoScore1_long;label;inoLabel_float;inoLabel_double;inoLabel_long
9.143352508544922e-05;9.13739204406e-05;9.13963904185e-05;0.000123381614685;0.9999085664749146;0.9999086260795592;0.9999086036095814;0.9998766183853148;1;1;1;1
3.0517578125e-05;3.0517578125e-05;3.05021073708e-05;4.54187393188e-05;0.999969482421875;0.999969482421875;0.9999694978926292;0.9999545812606812;1;1;1;1
0.0451329946517944;0.0451329946517944;0.0451329632144413;0.0474258661270141;0.9548670053482056;0.9548670053482056;0.9548670367855584;0.9525741338729858;1;1;1;1
0.0013836622238159;0.0013836026191711;0.0013835964180334;0.0024725794792175;0.998616337776184;0.9986163973808287;0.9986164035819663;0.9975274205207824;1;1;1;1
0.003423273563385;0.0034232139587402;0.0034232008943205;0.0066928267478942;0.996576726436615;0.9965767860412597;0.9965767991056792;0.9933071732521056;1;1;1;1
0.0018075108528137;0.0018075108528137;0.0018075301776091;0.0024725794792175;0.9981924891471864;0.9981924891471862;0.9981924698223908;0.9975274205207824;1;1;1;1
0.000424325466156;0.000424325466156;0.0004243521240542;0.000910997390747;0.999575674533844;0.999575674533844;0.9995756478759455;0.9990890026092528;1;1;1;1
0.0035404562950134;0.0035404562950134;0.0035404708399828;0.0066928267478942;0.9964595437049866;0.9964595437049864;0.996459529160017;0.9933071732521056;1;1;1;1
0.018934428691864;0.025165319442749;0.0189344200900577;0.0474258661270141;0.981065571308136;0.9748346805572508;0.981065579909942;0.9525741338729858;1;1;1;1
0.0017014145851135;0.0017013549804687;0.0017013789688661;0.0024725794792175;0.9982985854148864;0.9982986450195312;0.9982986210311338;0.9975274205207824;1;1;1;1
0.0613319277763366;0.0613319873809814;0.0613320564899072;0.119202971458435;0.9386680722236632;0.9386680126190184;0.9386679435100926;0.8807970285415649;1;1;1;1
7.605552673339844e-05;7.59959220886e-05;7.60120953888e-05;0.000123381614685;0.9999239444732666;0.9999240040779112;0.9999239879046112;0.9998766183853148;1;1;1;1
1.2516975402832031e-05;1.25169754028e-05;1.25421037442e-05;1.66893005371e-05;0.9999874830245972;0.9999874830245972;0.9999874578962558;0.9999833106994628;1;1;1;1
0.0018646717071533;0.0018646717071533;0.0018646852792763;0.0024725794792175;0.9981353282928468;0.9981353282928466;0.9981353147207236;0.9975274205207824;1;1;1;1
0.003683865070343;0.0036839246749877;0.0036839263033751;0.0066928267478942;0.996316134929657;0.9963160753250122;0.9963160736966248;0.9933071732521056;1;1;1;1
0.0085598230361938;0.0085598230361938;0.0085597797891158;0.017986238002777;0.9914401769638062;0.991440176963806;0.9914402202108842;0.9820137619972228;1;1;1;1
2.41994857788086e-05;2.41994857788e-05;2.41714784375e-05;4.54187393188e-05;0.9999758005142212;0.9999758005142212;0.9999758285215624;0.9999545812606812;1;1;1;1
0.0001952052116394;0.0001952052116394;0.0001952008437594;0.0003353357315063;0.9998047947883606;0.9998047947883604;0.9998047991562404;0.9996646642684937;1;1;1;1
5.674362182617188e-05;5.67436218261e-05;5.67653278928e-05;0.000123381614685;0.9999432563781738;0.9999432563781738;0.9999432346721072;0.9998766183853148;1;1;1;1
0.0002774596214294;0.0002774596214294;0.0002774540854356;0.0003353357315063;0.9997225403785706;0.9997225403785704;0.9997225459145642;0.9996646642684937;1;1;1;1
0.0003274679183959;0.0003274679183959;0.0003274933247953;0.0003353357315063;0.999672532081604;0.999672532081604;0.9996725066752048;0.9996646642684937;1;1;1;1
