inoScore0;inoScore1;inoLabel
0.000086426734924316406250;0.999913573265075683593750;1
0.001073658466339111328125;0.998926341533660888671875;1
0.000150620937347412109375;0.999849379062652587890625;1
0.001871049404144287109375;0.998128950595855712890625;1
0.009810745716094970703125;0.990189254283905029296875;1
0.001022338867187500000000;0.998977661132812500000000;1
0.001358747482299804687500;0.998641252517700195312500;1
0.000218987464904785156250;0.999781012535095214843750;1
0.003176987171173095703125;0.996823012828826904296875;1
0.001351654529571533203125;0.998648345470428466796875;1
0.000146329402923583984375;0.999853670597076416015625;1
0.001900553703308105468750;0.998099446296691894531250;1
0.000134229660034179687500;0.999865770339965820312500;1
0.000066936016082763671875;0.999933063983917236328125;1
0.000104069709777832031250;0.999895930290222167968750;1
0.000016093254089355468750;0.999983906745910644531250;1
0.007533967494964599609375;0.992466032505035400390625;1
0.001577377319335937500000;0.998422622680664062500000;1
0.000234901905059814453125;0.999765098094940185546875;1
0.000044167041778564453125;0.999955832958221435546875;1
0.199445128440856933593750;0.800554871559143066406250;1
0.002071917057037353515625;0.997928082942962646484375;1
0.000050544738769531250000;0.999949455261230468750000;1
0.000037431716918945312500;0.999962568283081054687500;1
0.000075757503509521484375;0.999924242496490478515625;1
0.000133216381072998046875;0.999866783618927001953125;1
0.011087000370025634765625;0.988912999629974365234375;1
0.000027120113372802734375;0.999972879886627197265625;1
0.001534998416900634765625;0.998465001583099365234375;1
0.000293314456939697265625;0.999706685543060302734375;1
0.017018437385559082031250;0.982981562614440917968750;1
0.000023245811462402343750;0.999976754188537597656250;1
0.070443987846374511718750;0.929556012153625488281250;1
0.000057220458984375000000;0.999942779541015625000000;1
0.000990092754364013671875;0.999009907245635986328125;1
0.003174126148223876953125;0.996825873851776123046875;1
0.000625848770141601562500;0.999374151229858398437500;1
0.000496387481689453125000;0.999503612518310546875000;1
0.085720121860504150390625;0.914279878139495849609375;1
0.042475581169128417968750;0.957524418830871582031250;1
0.003205358982086181640625;0.996794641017913818359375;1
0.012962520122528076171875;0.987037479877471923828125;1
0.002563893795013427734375;0.997436106204986572265625;1
0.000534892082214355468750;0.999465107917785644531250;1
0.000045716762542724609375;0.999954283237457275390625;1
0.000113070011138916015625;0.999886929988861083984375;1
0.000029683113098144531250;0.999970316886901855468750;1
0.001865446567535400390625;0.998134553432464599609375;1
0.005500197410583496093750;0.994499802589416503906250;1
0.006798446178436279296875;0.993201553821563720703125;1
0.000057220458984375000000;0.999942779541015625000000;1
0.000230729579925537109375;0.999769270420074462890625;1
0.000066518783569335937500;0.999933481216430664062500;1
0.004325985908508300781250;0.995674014091491699218750;1
0.000023543834686279296875;0.999976456165313720703125;1
0.000052511692047119140625;0.999947488307952880859375;1
0.001269578933715820312500;0.998730421066284179687500;1
0.000151574611663818359375;0.999848425388336181640625;1
0.002112805843353271484375;0.997887194156646728515625;1
0.002112090587615966796875;0.997887909412384033203125;1
0.000093042850494384765625;0.999906957149505615234375;1
0.022347331047058105468750;0.977652668952941894531250;1
0.000228464603424072265625;0.999771535396575927734375;1
0.001098275184631347656250;0.998901724815368652343750;1
0.000030755996704101562500;0.999969244003295898437500;1
0.000058054924011230468750;0.999941945075988769531250;1
0.002129018306732177734375;0.997870981693267822265625;1
0.000128209590911865234375;0.999871790409088134765625;1
0.000578105449676513671875;0.999421894550323486328125;1
0.000015974044799804687500;0.999984025955200195312500;1
0.000025033950805664062500;0.999974966049194335937500;1
0.000125348567962646484375;0.999874651432037353515625;1
